СЛОВО           | ЧАСТОТА
около           | 837
У               | 836
Кроме           | 834
канале          | 829
К               | 829
нашем           | 827
дома            | 815
им              | 803
рублей          | 799
именно          | 793
люди            | 793
коронавирус     | 778
меры            | 778
против          | 770
млн             | 767
лишь            | 758
там             | 752
числе           | 748
Ленту           | 746
жизни           | 744
Мою             | 744
почти           | 742
стороны         | 740
стран           | 738
Источник        | 738
своих           | 735
стране          | 730
свою            | 730
нам             | 723
РИА             | 710
данным          | 706
работу          | 701
области         | 699
СМИ             | 695
своей           | 689
Не              | 688
данный          | 681
год             | 681
часть           | 679
которой         | 675
свои            | 671
три             | 671
тех             | 669
граждан         | 660
него            | 659
стали           | 659
другие          | 656
такой           | 654
тоже            | 654
времени         | 653
системы         | 653
вот             | 648
таких           | 647
потому          | 642
менее           | 641
этих            | 641
Объясняем       | 638
Подпишись       | 638
надо            | 631
вопрос          | 628
Все             | 623
момент          | 622
меня            | 622
двух            | 620
сказал          | 618
ему             | 609
безопасности    | 609
одной           | 608
помощи          | 608
Также           | 607
президент       | 605
возможность     | 604
много           | 603
новых           | 603
либо            | 603
Ранее           | 602
решение         | 599
образом         | 597
мне             | 595
Они             | 591
сообщает        | 590
млрд            | 589
теперь          | 588
человека        | 587
однако          | 583
себе            | 583
стало           | 582
долларов        | 580
После           | 576
сегодня         | 571
например        | 569
президента      | 565
ситуация        | 563
должен          | 563
которого        | 559
сообщил         | 558
Сейчас          | 556
Москве          | 556
сделать         | 553
самоизоляции    | 552
здесь           | 552
количество      | 552
пресс           | 551
многие          | 549
Путин           | 548
всем            | 545
За              | 544
период          | 540
проекта         | 539
ранее           | 539
отметил         | 538
ещё             | 536
эпидемии        | 535
дней            | 532
материал        | 532
хотя            | 531
поэтому         | 530
стоит           | 524
стал            | 524
тот             | 523
изображения     | 522
данные          | 522
нового          | 521
территории      | 519
конце           | 517
такие           | 517
части           | 517
информации      | 516
всегда          | 514
Владимир        | 514
обороны         | 514
организации     | 513
Поэтому         | 512
перед           | 511
войны           | 507
государства     | 506
работать        | 505
глава           | 505
число           | 505
ТАСС            | 497
тогда           | 496
начала          | 496
средств         | 496
Из              | 495
говорит         | 493
экономики       | 491
жизнь           | 489
процентов       | 487
Материал        | 486
города          | 485
открытом        | 483
вас             | 482
считает         | 482
помощь          | 482
мира            | 481
рассказал       | 481
мер             | 481
новый           | 479
Александр       | 479
мнению          | 476
имеет           | 474
Когда           | 473
правительства   | 473
онлайн          | 472
Во              | 471
последние       | 470
которое         | 470
рамках          | 469
свой            | 469
Москвы          | 469
м               | 469
новые           | 466
говорится       | 466
находится       | 466
очередь         | 466
использовать    | 463
этим            | 463
решения         | 462
распространения | 462
необходимо      | 461
среди           | 460
доступе         | 460
Сергей          | 460
нефть           | 459
сразу           | 458
здравоохранения | 458
чего            | 458
деньги          | 458
защиты          | 456
идет            | 456
ходе            | 456
всё             | 456
нефти           | 454
принадлежат     | 453
российских      | 451
назад           | 450
населения       | 449
поскольку       | 449
вместе          | 447
дело            | 445
внимание        | 444
те              | 444
Права           | 443
место           | 441
поддержки       | 440
размещён        | 439
борьбе          | 438
видео           | 437
эту             | 437
правообладателем | 437
первый          | 432
карантина       | 432
течение         | 432
вообще          | 430
частности       | 430
борьбы          | 429
инфекции        | 427
две             | 426
Трамп           | 426
делать          | 425
помощью         | 424
возможности     | 423
часов           | 423
одного          | 422
ничего          | 422
фоне            | 420
х               | 419
Ъ               | 419
проблемы        | 415
развития        | 413
другой          | 412
компания        | 411
которую         | 411
сил             | 411
действия        | 410
своего          | 410
котором         | 408
сам             | 408
бизнеса         | 407
Она             | 406
качестве        | 406
Москва          | 406
М               | 405
меньше          | 400
дня             | 395
достаточно      | 395
особенно        | 395
О               | 395
тут             | 394
должна          | 394
многих          | 393
начале          | 393
Вот             | 393
практически     | 392
потом           | 391
данных          | 390
результате      | 390
самых           | 388
управления      | 388
новой           | 387
каждый          | 387
руб             | 386
группы          | 385
премьер         | 384
режим           | 383
правительство   | 382
средства        | 381
Украины         | 381
нашей           | 381
полностью       | 379
известно        | 379
случаев         | 378
Тем             | 377
дом             | 376
кризис          | 376
некоторые       | 376
заражения       | 375
пишет           | 375
быстро          | 374
миллионов       | 374
тому            | 373
кризиса         | 373
какие           | 372
конечно         | 372
военных         | 372
сутки           | 371
стала           | 370
карантин        | 370
СССР            | 370
эта             | 369
министр         | 369
коронавирусной  | 369
компаний        | 369
производства    | 368
заболевания     | 367
действительно   | 366
такое           | 365
считают         | 365
го              | 365
рынке           | 364
годы            | 364
Например        | 363
цен             | 362
директор        | 362
получить        | 361
хорошо          | 361
ним             | 361
самом           | 360
одна            | 359
работает        | 357
пор             | 356
недели          | 356
рост            | 354
армии           | 354
То              | 354
Еще             | 353
система         | 352
Дмитрий         | 352
ней             | 351
Китай           | 351
пандемией       | 351
Его             | 350
Германии        | 350
собой           | 349
деле            | 347
й               | 347
Алексей         | 346
работе          | 346
какой           | 345
лучше           | 344
всей            | 344
своим           | 344
наиболее        | 344
флота           | 343
цены            | 342
Теперь          | 342
этому           | 340
затем           | 340
режиме          | 339
Апреля          | 339
россиян         | 339
тысячи          | 338
службы          | 337
Китая           | 337
странах         | 336
мировой         | 336
возможно        | 336
сообщили        | 335
стать           | 334
часто           | 334
вируса          | 334
удалось         | 334
сети            | 333
своем           | 333
истории         | 332
целом           | 331
второй          | 331
сотрудников     | 331
включая         | 331
первых          | 330
срок            | 329
Да              | 329
городе          | 329
подчеркнул      | 329
НАТО            | 328
Италии          | 326
Общество        | 324
сказать         | 323
самым           | 322
большой         | 321
такого          | 321
типа            | 321
пациентов       | 321
силы            | 320
Михаил          | 319
составляет      | 318
которым         | 318
масок           | 318
отмечает        | 317
следует         | 316
минут           | 316
первую          | 316
никто           | 316
российской      | 315
почему          | 314
ИноСМИ          | 314
нельзя          | 313
начали          | 313
км              | 313
мая             | 312
ситуацию        | 311
свое            | 310
Трампа          | 310
Россию          | 309
мм              | 309
важно           | 308
вам             | 308
войск           | 308
вирус           | 308
раньше          | 307
должно          | 307
июня            | 307
режима          | 306
примерно        | 305
проект          | 305
про             | 305
первой          | 305
сайте           | 304
партии          | 304
Согласно        | 304
ведь            | 303
позволяет       | 303
настоящее       | 302
месяца          | 301
г               | 300
четыре          | 299
счет            | 299
получил         | 298
конца           | 298
итоге           | 298
слова           | 298
рынка           | 297
участие         | 297
работа          | 296
некоторых       | 295
друг            | 295
месяц           | 295
суд             | 295
отношении       | 295
неделю          | 293
разных          | 293
медицинских     | 292
Европе          | 292
таким           | 291
места           | 291
нее             | 291
бизнес          | 291
военной         | 291
необходимости   | 290
главы           | 290
совсем          | 289
станет          | 289
российского     | 287
оружия          | 286
версии          | 285
техники         | 285
ряд             | 284
её              | 284
Путина          | 283
дела            | 283
исключительно   | 283
маски           | 282
российские      | 282
могли           | 282
деятельности    | 282
регионах        | 282
пять            | 279
военно          | 279
скорее          | 278
несмотря        | 278
выше            | 277
находятся       | 277
касается        | 276
мир             | 275
речь            | 275
куда            | 274
наших           | 274
готовы          | 274
автор           | 274
сильно          | 273
ВМС             | 273
месте           | 272
информацию      | 272
роль            | 272
министра        | 272
заявили         | 272
работают        | 271
слишком         | 271
виде            | 271
сами            | 271
уровне          | 270
проблем         | 269
являются        | 269
Автор           | 268
Чтобы           | 268
оказались       | 268
канал           | 268
проведения      | 268
военного        | 268
вопросы         | 267
систему         | 267
дни             | 266
трех            | 265
передает        | 265
нем             | 265
т               | 265
вполне          | 264
найти           | 264
точки           | 264
весь            | 264
денег           | 264
поддержку       | 263
месяцев         | 263
оно             | 262
прошлого        | 262
давно           | 262
политики        | 262
детей           | 262
программы       | 262
наши            | 262
зарубежных      | 261
ЕС              | 261
добычи          | 261
говорят         | 260
предприятий     | 260
никогда         | 260
ограничения     | 259
одним           | 258
Таким           | 258
впервые         | 258
жителей         | 258
Европы          | 258
интернет        | 257
ВОЗ             | 257
Нью             | 257
Россией         | 257
предприятия     | 257
прошлом         | 256
Теги            | 256
самое           | 255
Политика        | 255
мере            | 255
людям           | 254
благодаря       | 254
кого            | 254
ей              | 254
Коммерсантъ     | 253
ВЗГЛЯД          | 253
уровень         | 252
прежде          | 252
источники       | 252
Украина         | 252
смогут          | 252
связь           | 252
исследования    | 252
производство    | 252
Подписывайтесь  | 251
придется        | 251
Китае           | 251
Текст           | 251
активно         | 250
имеют           | 250
город           | 250
американских    | 250
Франции         | 250
список          | 249
получили        | 249
Украине         | 249
издание         | 249
систем          | 249
море            | 249
совершенно      | 248
ОПЕК            | 248
раза            | 248
говорить        | 247
Минобороны      | 247
рынок           | 247
зрения          | 247
одном           | 247
довольно        | 246
всю             | 246
оценки          | 246
Почему          | 245
действий        | 245
снова           | 244
процесс         | 244
команды         | 244
Есть            | 244
пришлось        | 243
марте           | 243
памяти          | 242
добавил         | 242
сможет          | 242
специалисты     | 241
Федерации       | 241
право           | 240
всему           | 240
обеспечить      | 240
нескольких      | 240
внутри          | 240
решили          | 239
сколько         | 239
военные         | 239
корабля         | 239
Этот            | 238
Сегодня         | 238
адрес           | 237
врачей          | 237
провести        | 236
основе          | 236
сих             | 236
новости         | 235
СП              | 235
центра          | 234
службе          | 234
состав          | 234
да              | 233
ссылкой         | 233
позицию         | 233
значит          | 232
метров          | 232
самый           | 231
самой           | 231
Российской      | 231
Су              | 231
дальше          | 230
эксперт         | 229
Пока            | 229
пандемия        | 229
первого         | 227
заболевших      | 227
регионов        | 227
Экономика       | 227
Хотя            | 226
Тогда           | 226
постоянно       | 226
такая           | 226
До              | 225
минимум         | 225
Яндекс          | 224
Впрочем         | 224
эксперты        | 224
невозможно      | 224
опыт            | 224
специалистов    | 223
большинство     | 222
точно           | 222
гораздо         | 222
ответ           | 222
Эти             | 222
районе          | 222
приходится      | 221
спроса          | 221
мест            | 221
Правительство   | 221
Более           | 220
Президент       | 220
роста           | 220
машины          | 220
первые          | 219
основном        | 219
любой           | 218
статье          | 218
Здесь           | 218
неделе          | 218
вирусом         | 218
тест            | 218
января          | 218
Напомним        | 217
сообщалось      | 217
боевых          | 217
ракет           | 217
региона         | 216
пути            | 216
состоянии       | 216
цели            | 216
ракеты          | 216
фото            | 215
Даже            | 214
страна          | 214
кажется         | 214
события         | 214
первом          | 213
числа           | 213
позволит        | 213
процента        | 213
Ну              | 212
регионе         | 212
заявила         | 212
остается        | 212
апреле          | 212
уровня          | 212
одно            | 212
Читайте         | 211
вариант         | 211
становится      | 211
создать         | 211
интервью        | 210
властей         | 210
пояснил         | 210
ученые          | 210
самого          | 209
которому        | 209
Там             | 209
якобы           | 209
дел             | 209
мог             | 209
помочь          | 209
той             | 208
Андрей          | 208
века            | 208
Вы              | 208
сфере           | 207
базе            | 207
операции        | 207
Т               | 207
сообщила        | 206
Сирии           | 206
врачи           | 206
Несмотря        | 206
сентября        | 206
можем           | 206
больных         | 206
принять         | 205
начал           | 205
вице            | 205
государств      | 205
противника      | 204
задачи          | 204
евро            | 204
Всего           | 204
таки            | 204
никаких         | 204
понедельник     | 204
самолетов       | 204
воды            | 203
изменения       | 203
каждого         | 203
Их              | 203
ресурсов        | 202
вокруг          | 202
поводу          | 202
будем           | 202
войска          | 202
Именно          | 202
наш             | 202
своими          | 201
создания        | 201
мало            | 201
ты              | 201
участников      | 201
ООН             | 201
вернуться       | 201
больницы        | 200
смерти          | 200
различных       | 200
Александра      | 200
модели          | 199
Коронавирус     | 199
соответствии    | 199
крайне          | 199
структуры       | 199
миллиона        | 199
имени           | 198
спрос           | 197
членов          | 197
немного         | 197
распространением | 196
труда           | 196
услуг           | 196
продолжает      | 196
ними            | 196
РГ              | 196
оказался        | 196
отношения       | 196
иметь           | 196
годах           | 195
итогам          | 195
стоимость       | 195
зараженных      | 195
Санкт           | 195
информация      | 195
вместо          | 194
обеспечения     | 194
самые           | 194
новую           | 193
оказалось       | 193
Эта             | 193
экономике       | 193
относительно    | 193
крупных         | 193
использования   | 192
написал         | 192
обычно          | 191
доступ          | 191
общей           | 191
целью           | 191
Военно          | 191
приводит        | 191
работ           | 191
сообщения       | 190
событий         | 190
недавно         | 190
технологии      | 190
представитель   | 190
рабочих         | 190
служба          | 190
края            | 190
составе         | 190
самолет         | 189
результат       | 189
прямо           | 188
далее           | 188
Многие          | 188
распространение | 188
лиц             | 188
ведомства       | 188
понять          | 188
Мир             | 188
чуть            | 187
другими         | 187
идея            | 187
закон           | 187
права           | 187
выглядит        | 186
кроме           | 186
испытания       | 186
ограничений     | 186
миру            | 186
вести           | 186
весьма          | 185
название        | 185
исследований    | 185
промышленности  | 185
история         | 185
материалов      | 185
сравнению       | 184
середине        | 184
ниже            | 184
Мишустин        | 184
летний          | 184
сроки           | 184
значительно     | 184
будущем         | 183
организация     | 183
бывший          | 183
порядка         | 183
Газета          | 183
равно           | 182
работников      | 182
насколько       | 182
технологий      | 182
корабль         | 182
центр           | 181
произошло       | 181
согласно        | 181
российский      | 181
санкции         | 181
факт            | 181
потери          | 181
появились       | 180
здоровья        | 180
условия         | 180
часа            | 179
Конечно         | 179
план            | 179
статьи          | 179
машин           | 179
Один            | 178
вновь           | 178
дает            | 178
случай          | 178
доходов         | 178
редакции        | 178
одну            | 177
фактически      | 177
принимать       | 177
друга           | 176
рассказала      | 176
деятельность    | 176
назвал          | 176
американские    | 176
рядом           | 176
положение       | 176
решил           | 176
пяти            | 175
организаций     | 175
прежнему        | 175
новым           | 175
ВВП             | 175
создание        | 175
руководство     | 175
лечения         | 175
учетом          | 174
результаты      | 174
ПО              | 174
чаще            | 174
Глава           | 174
хочет           | 174
Японии          | 173
ваши            | 173
отрасли         | 173
границы         | 173
военнослужащих  | 173
ВВС             | 173
е               | 173
существует      | 172
скорость        | 172
снижение        | 172
силу            | 172
представители   | 172
страну          | 172
задач           | 172
делает          | 171
экономического  | 171
состояние       | 171
разработки      | 171
ближайшее       | 171
проводить       | 171
доме            | 170
комплекс        | 170
сотрудники      | 170
война           | 170
каких           | 170
семьи           | 170
разные          | 170
вроде           | 170
Фургала         | 170
американского   | 169
ответственность | 169
товаров         | 169
час             | 169
примеру         | 169
среду           | 169
американской    | 169
цель            | 169
материала       | 169
пользователей   | 168
одновременно    | 168
другим          | 168
инфекцией       | 168
призвал         | 168
времена         | 168
победы          | 168
километров      | 168
степени         | 168
планируется     | 168
объем           | 167
главное         | 167
Великобритании  | 167
Первый          | 167
руки            | 167
таком           | 167
годов           | 167
Турции          | 167
сложно          | 167
газета          | 167
отмечают        | 167
продажи         | 166
источник        | 166
миллиардов      | 166
Победы          | 166
класса          | 165
пользу          | 165
декабря         | 165
Второй          | 165
университета    | 165
национальной    | 165
далеко          | 165
экипажа         | 165
оборудования    | 164
Помимо          | 164
иностранных     | 164
сохранить       | 164
новость         | 164
получила        | 164
кому            | 164
Крым            | 164
содержат        | 164
развитие        | 163
рассказали      | 163
самолета        | 163
Владимира       | 163
экономика       | 163
последствия     | 163
хотят           | 163
государство     | 163
нибудь          | 163
Материалы       | 163
резко           | 162
действовать     | 162
говорил         | 162
болезни         | 162
предложения     | 162
медицинской     | 162
максимально     | 162
группа          | 162
мае             | 162
сути            | 162
проблема        | 162
зависимости     | 161
февраля         | 161
официально      | 161
Ведь            | 161
санкций         | 161
зависит         | 161
дать            | 161
долго           | 161
кораблей        | 161
услуги          | 160
вряд            | 160
сторону         | 160
Саудовской      | 159
правила         | 159
случаях         | 159
Кто             | 159
жить            | 159
ближайшие       | 158
такую           | 158
объявил         | 158
Между           | 158
декабре         | 158
генерал         | 158
движения        | 158
июне            | 158
центре          | 158
причем          | 157
Можно           | 157
отсутствие      | 157
Крыма           | 157
мнение          | 157
Уже             | 157
экономику       | 157
Мне             | 157
цена            | 156
системе         | 156
падение         | 156
количества      | 156
оружие          | 156
решений         | 156
отражают        | 156
модель          | 155
сообщении       | 155
временем        | 155
улице           | 155
легких          | 155
задача          | 155
строительства   | 155
поколения       | 154
испытаний       | 154
главный         | 154
контроль        | 154
ИВЛ             | 154
проектов        | 154
местах          | 153
Некоторые       | 153
отметили        | 153
Москву          | 153
приняли         | 153
объектов        | 153
вся             | 153
сообщается      | 152
зарплаты        | 152
нашего          | 152
пост            | 152
оказалась       | 152
бюджета         | 152
тонн            | 152
строительство   | 152
мужчина         | 151
принято         | 151
Люди            | 151
Компания        | 150
объявила        | 150
подготовки      | 150
нужны           | 150
контроля        | 150
Возможно        | 150
домой           | 150
большие         | 150
шесть           | 150
власть          | 150
американцев     | 149
феврале         | 149
завод           | 149
туда            | 149
Среди           | 148
порядке         | 148
совместно       | 148
сократить       | 148
шоу             | 148
выполнения      | 148
значение        | 148
МИД             | 147
выйти           | 147
Германия        | 147
Больше          | 147
вооружение      | 147
вооружения      | 147
Последние       | 147
войне           | 147
первым          | 146
экономической   | 146
влияние         | 146
морской         | 146
станции         | 146
говоря          | 146
корпуса         | 146
размере         | 145
появилась       | 145
объяснил        | 145
политике        | 145
изоляции        | 145
свыше           | 145
большое         | 145
вчера           | 145
знаю            | 145
представителей  | 145
агентства       | 145
сентябре        | 145
Только          | 144
получит         | 144
отметить        | 144
вещи            | 144
Евгений         | 144
сумму           | 144
требования      | 144
публикации      | 144
приложения      | 143
соответственно  | 143
большим         | 143
Песков          | 143
высокой         | 143
утверждает      | 143
руководитель    | 143
общества        | 143
плохо           | 143
появился        | 142
спустя          | 142
смогли          | 142
продуктов       | 142
эпидемией       | 142
вооружений      | 142
прошлой         | 142
комплекса       | 142
использование   | 142
взять           | 141
ввести          | 141
социальных      | 141
путь            | 141
двумя           | 141
ч               | 141
жители          | 141
состава         | 141
ВМФ             | 141
среднего        | 140
вероятно        | 140
отмечается      | 140
сложности       | 140
дал             | 140
столь           | 140
газ             | 140
образования     | 140
прав            | 140
причину         | 140
позиции         | 140
каким           | 140
добычу          | 140
безопасность    | 140
большая         | 139
историю         | 139
целей           | 139
продолжают      | 139
выборы          | 139
администрации   | 139
хватает         | 139
игры            | 138
российским      | 138
следующий       | 138
здоровье        | 138
медицинского    | 138
Или             | 138
момента         | 138
мой             | 138
уж              | 137
новая           | 137
полной          | 137
боевой          | 137
требует         | 137
От              | 137
комитета        | 137
Российская      | 137
пытается        | 137
продукции       | 137
Олег            | 137
смартфон        | 136
аппаратов       | 136
предложил       | 136
Новостях        | 136
службу          | 136
гражданам       | 136
лица            | 136
начать          | 136
основной        | 136
случаи          | 136
вид             | 136
Николай         | 136
успешно         | 136
президентом     | 136
плане           | 136
важного         | 136
самостоятельно  | 135
Добавьте        | 135
политика        | 135
готовности      | 135
карантине       | 135
могу            | 135
полиции         | 135
знает           | 135
Дом             | 135
плюс            | 134
устройства      | 134
ради            | 134
пройти          | 134
недель          | 134
Газету          | 134
можете          | 134
входит          | 134
сама            | 134
трудно          | 134
думаю           | 134
хоть            | 134
выплаты         | 134
принял          | 134
другом          | 134
ответственности | 134
авиации         | 134
флот            | 134
оставаться      | 133
способ          | 133
социально       | 133
второго         | 133
Российские      | 133
снижения        | 133
нему            | 133
Дональд         | 133
увидеть         | 133
сожалению       | 133
этапе           | 133
легко           | 132
предлагает      | 132
отличие         | 132
пример          | 132
сделали         | 132
рубля           | 132
мероприятия     | 132
провели         | 132
АПЛ             | 132
команда         | 132
губернатора     | 132
Потому          | 132
купить          | 131
странице        | 131
коронавирусе    | 131
назвали         | 131
Речь            | 131
секретарь       | 131
главе           | 131
иначе           | 131
газа            | 131
сокращение      | 131
угрозу          | 131
риск            | 131
государственных | 131
видно           | 131
Причем          | 131
издания         | 131
нашли           | 131
крови           | 131
изменит         | 131
Затем           | 131
множество       | 131
Отмечается      | 130
НОВОСТИ         | 130
ТЕМЕ            | 130
случая          | 130
экс             | 130
предложили      | 130
делу            | 130
переговоры      | 130
удар            | 130
продукты        | 130
окончания       | 130
готов           | 130
Саудовская      | 130
скорости        | 130
поставки        | 130
свидетелем      | 130
заболеваний     | 129
международной   | 129
Белоруссии      | 129
рассказывает    | 129
Союза           | 129
клиентов        | 129
Аравия          | 129
местных         | 129
Сергея          | 129
понятно         | 129
цене            | 128
Вместе          | 128
десять          | 128
Центра          | 128
подобные        | 128
сделал          | 128
используют      | 128
закона          | 128
необходимые     | 128
животных        | 128
граждане        | 128
границ          | 128
пришли          | 128
американский    | 128
Антон           | 128
главных         | 128
последнее       | 128
Земле           | 128
быстрее         | 127
дополнительные  | 127
больнице        | 127
республики      | 127
странами        | 127
взгляд          | 127
показывает      | 127
заявление       | 127
мероприятий     | 127
вторых          | 127
линии           | 127
позже           | 127
отделом         | 127
игр             | 126
Вашингтон       | 126
октября         | 126
баррелей        | 126
означает        | 126
борьбу          | 126
делают          | 126
расходы         | 126
правда          | 126
Правда          | 126
особо           | 126
лично           | 126
постепенно      | 126
область         | 126
используется    | 126
выхода          | 125
пострадавших    | 125
форме           | 125
связано         | 125
каникулы        | 125
руководством    | 125
готова          | 125
сделки          | 125
экономических   | 125
органов         | 125
документы       | 125
корабли         | 125
боли            | 125
январе          | 125
танков          | 125
ПВО             | 125
МиГ             | 125
поле            | 124
вопросов        | 124
медицинские     | 124
существенно     | 124
отдельных       | 124
смартфонов      | 123
заключается     | 123
поддержке       | 123
абсолютно       | 123
необходимость   | 123
сначала         | 123
которыми        | 123
Иван            | 123
втором          | 123
ряда            | 123
проведение      | 123
эпидемия        | 123
кампании        | 123
помогает        | 122
получат         | 122
россияне        | 122
привести        | 122
коронавирусу    | 122
отметила        | 122
поддержать      | 122
четверг         | 122
правило         | 122
доля            | 122
института       | 122
малого          | 122
четырех         | 122
управление      | 122
обнаружили      | 122
сокращения      | 122
выборов         | 122
оборудование    | 122
Великой         | 122
Распространение | 122
новом           | 122
версия          | 121
предложение     | 121
фотографии      | 121
проекты         | 121
женщины         | 121
обвинения       | 121
МВД             | 121
начало          | 121
свободы         | 121
концу           | 121
среднем         | 120
поддержка       | 120
посмотреть      | 120
роли            | 120
программу       | 120
возрасте        | 120
зафиксировано   | 120
встречи         | 120
бороться        | 120
остаются        | 120
городах         | 120
августа         | 120
крайней         | 120
заявления       | 120
данном          | 120
