СЛОВО           | ЧАСТОТА
территории      | 521
части           | 520
дом             | 519
обороны         | 519
конце           | 518
сам             | 518
всё             | 518
войны           | 517
информации      | 517
жизнь           | 515
владимир        | 514
работать        | 512
государства     | 512
онлайн          | 507
говорит         | 507
сразу           | 503
каждый          | 503
вообще          | 502
необходимо      | 501
помощь          | 501
тут             | 500
нефть           | 499
начала          | 497
второй          | 497
тасс            | 497
средств         | 496
мира            | 494
правительства   | 494
деньги          | 494
вас             | 493
этим            | 493
экономики       | 493
премьер         | 490
города          | 488
процентов       | 487
рассказал       | 486
возможно        | 486
согласно        | 485
несмотря        | 484
открытом        | 483
считает         | 482
мер             | 482
свой            | 481
чего            | 481
имеет           | 480
александр       | 479
потом           | 479
х               | 478
мнению          | 476
очередь         | 475
особенно        | 474
видео           | 474
т               | 472
которое         | 471
какие           | 471
затем           | 471
решения         | 471
место           | 470
военно          | 470
рамках          | 469
находится       | 469
москвы          | 469
эту             | 468
говорится       | 467
использовать    | 466
такое           | 466
ведь            | 464
мир             | 463
сил             | 463
здравоохранения | 462
распространения | 462
идет            | 460
доступе         | 460
сергей          | 460
защиты          | 458
нефти           | 457
другой          | 456
министр         | 456
ходе            | 456
российских      | 455
две             | 455
принадлежат     | 453
ничего          | 452
назад           | 452
внимание        | 450
населения       | 449
москва          | 449
поддержки       | 440
проблемы        | 440
размещён        | 439
борьбе          | 438
одна            | 438
правообладателем | 437
карантина       | 433
делать          | 433
течение         | 432
частности       | 430
возможности     | 429
борьбы          | 429
действия        | 428
инфекции        | 428
трамп           | 426
помощью         | 424
одного          | 424
дня             | 423
часов           | 423
директор        | 422
фоне            | 420
известно        | 419
ъ               | 419
армии           | 418
достаточно      | 416
практически     | 416
российские      | 415
развития        | 415
режим           | 412
действительно   | 411
своего          | 411
которую         | 411
котором         | 408
меньше          | 408
бизнеса         | 407
качестве        | 406
речь            | 406
управления      | 405
средства        | 404
группы          | 404
новой           | 403
хорошо          | 401
наиболее        | 400
кризис          | 398
должна          | 398
многих          | 395
данных          | 394
система         | 394
общество        | 394
начале          | 393
самых           | 392
карантин        | 391
результате      | 390
полностью       | 390
политика        | 390
взгляд          | 390
экономика       | 390
быстро          | 387
работа          | 387
руб             | 386
какой           | 385
нашей           | 385
украины         | 381
стала           | 379
случаев         | 379
тому            | 378
пишет           | 378
лучше           | 376
цены            | 376
рост            | 376
заражения       | 375
важно           | 374
миллионов       | 374
сети            | 373
кризиса         | 373
сутки           | 372
военных         | 372
ссср            | 370
коронавирусной  | 369
компаний        | 369
никто           | 369
производства    | 369
про             | 367
заболевания     | 367
считают         | 367
го              | 367
получить        | 366
годы            | 365
рынке           | 364
проект          | 364
срок            | 363
цен             | 362
центра          | 362
работает        | 361
ним             | 361
самом           | 360
большой         | 359
пор             | 357
часто           | 357
недели          | 357
этому           | 355
россиян         | 354
такого          | 352
дмитрий         | 352
вирус           | 352
ней             | 351
китай           | 351
пандемией       | 351
раньше          | 351
нельзя          | 350
первой          | 350
германии        | 350
флота           | 350
газета          | 350
службы          | 349
собой           | 349
деле            | 349
своим           | 348
г               | 348
алексей         | 347
й               | 347
работе          | 346
мировой         | 346
всей            | 344
тысячи          | 344
вам             | 343
самым           | 342
благодаря       | 341
режиме          | 339
оно             | 338
следует         | 338
удалось         | 338
пандемия        | 338
км              | 337
китая           | 337
сообщили        | 336
первых          | 336
странах         | 336
истории         | 336
стать           | 335
вируса          | 335
бизнес          | 335
силы            | 335
примерно        | 334
скорее          | 334
включая         | 334
победы          | 334
своем           | 333
сотрудников     | 333
целом           | 331
наши            | 331
интернет        | 330
эксперты        | 330
суд             | 330
сказать         | 329
городе          | 329
подчеркнул      | 329
текст           | 329
первую          | 328
нато            | 328
российского     | 327
италии          | 326
четыре          | 325
пациентов       | 323
большинство     | 322
типа            | 322
ученые          | 322
ситуацию        | 321
минут           | 320
свое            | 320
михаил          | 319
масок           | 319
составляет      | 318
мая             | 318
которым         | 318
начали          | 317
отмечает        | 317
иносми          | 314
партии          | 312
маски           | 311
должно          | 311
её              | 311
ряд             | 310
войск           | 310
распространение | 310
трампа          | 310
мм              | 310
одним           | 309
россию          | 309
слова           | 309
июня            | 308
совсем          | 307
самое           | 307
впервые         | 307
настоящее       | 306
режима          | 306
специалисты     | 306
сайте           | 304
прежде          | 304
участие         | 304
неделю          | 304
город           | 304
такая           | 304
позволяет       | 303
месяца          | 301
бывший          | 300
счет            | 300
получил         | 299
конца           | 299
военной         | 299
итоге           | 298
месяц           | 298
сами            | 298
рынка           | 297
некоторых       | 296
друг            | 296
военные         | 296
куда            | 295
главы           | 295
отношении       | 295
места           | 294
медицинских     | 294
станет          | 293
сколько         | 293
разных          | 293
пять            | 292
европе          | 292
нее             | 291
необходимости   | 290
вполне          | 289
дела            | 289
причем          | 288
версии          | 287
весь            | 287
самый           | 286
могли           | 286
оружия          | 286
производство    | 286
эксперт         | 285
техники         | 285
исключительно   | 284
слишком         | 283
деятельности    | 283
путина          | 283
федерации       | 283
роль            | 282
издание         | 282
регионах        | 282
ну              | 281
готовы          | 281
выше            | 280
первые          | 280
говорят         | 280
находятся       | 279
работают        | 278
рынок           | 278
информацию      | 277
вопросы         | 277
министра        | 277
сильно          | 276
касается        | 276
источники       | 276
наших           | 274
никогда         | 274
денег           | 274
проблем         | 273
ты              | 273
вмс             | 273
месте           | 272
заявили         | 272
военного        | 272
внутри          | 272
найти           | 271
виде            | 271
исследования    | 271
ей              | 271
отмечается      | 270
список          | 270
уровне          | 270
нью             | 270
предприятия     | 270
программы       | 270
впрочем         | 269
являются        | 269
канал           | 269
политики        | 269
дни             | 269
помимо          | 268
право           | 268
систему         | 268
оказались       | 268
проведения      | 268
трех            | 267
ограничения     | 267
уровень         | 267
давно           | 267
точки           | 267
детей           | 266
подписывайтесь  | 265
передает        | 265
людям           | 265
нем             | 265
материалы       | 265
связь           | 264
поддержку       | 263
месяцев         | 263
вместо          | 262
прошлого        | 262
зарубежных      | 262
совершенно      | 262
российский      | 261
ес              | 261
предприятий     | 261
добычи          | 261
кого            | 260
страна          | 260
процесс         | 259
памяти          | 258
довольно        | 258
воз             | 258
жителей         | 258
минобороны      | 258
европы          | 258
теги            | 258
россией         | 257
всю             | 256
значит          | 256
прошлом         | 256
коммерсантъ     | 256
говорить        | 255
мере            | 255
история         | 254
украина         | 254
смогут          | 254
активно         | 254
далее           | 253
придется        | 253
дальше          | 253
правда          | 253
море            | 252
получили        | 251
китае           | 251
пришлось        | 250
имеют           | 250
американских    | 250
франции         | 250
оценки          | 250
украине         | 249
врачи           | 249
систем          | 249
опек            | 248
сможет          | 248
раза            | 248
центр           | 247
команды         | 247
зрения          | 247
одном           | 247
первого         | 246
решили          | 246
точно           | 246
российская      | 245
снова           | 245
стоимость       | 245
действий        | 245
обычно          | 244
марте           | 243
одно            | 243
недавно         | 242
провести        | 242
всему           | 242
добавил         | 242
обеспечить      | 242
теме            | 241
представитель   | 241
ответ           | 240
нескольких      | 240
врачей          | 239
наш             | 239
корабля         | 239
главное         | 238
напомним        | 238
су              | 238
адрес           | 237
читайте         | 236
сообщалось      | 236
основе          | 236
сих             | 236
тест            | 236
опыт            | 236
состав          | 236
любой           | 235
службе          | 235
сп              | 235
самой           | 234
кажется         | 234
университета    | 234
ссылкой         | 233
позицию         | 233
метров          | 232
вице            | 231
события         | 231
гораздо         | 230
остается        | 230
невозможно      | 230
интервью        | 229
постоянно       | 229
заболевших      | 228
насколько       | 228
оказалось       | 227
приходится      | 227
минимум         | 227
пути            | 227
власть          | 227
регионов        | 227
одновременно    | 226
роста           | 226
машины          | 226
никаких         | 226
информация      | 226
яндекс          | 225
ракеты          | 224
специалистов    | 223
первом          | 222
районе          | 222
проблема        | 221
спроса          | 221
мест            | 221
мало            | 220
будем           | 220
цели            | 220
сотрудники      | 219
неделе          | 219
основном        | 219
вариант         | 218
немного         | 218
главный         | 218
статье          | 218
республики      | 218
вирусом         | 218
января          | 218
представители   | 218
самые           | 217
существует      | 217
здоровье        | 217
боевых          | 217
ракет           | 217
региона         | 216
состоянии       | 216
якобы           | 216
результаты      | 215
результат       | 215
самолет         | 215
войска          | 215
становится      | 214
спрос           | 214
отношения       | 214
изменения       | 213
числа           | 213
закон           | 213
американские    | 213
евро            | 213
помочь          | 213
создать         | 213
позволит        | 213
процента        | 213
регионе         | 212
заявила         | 212
совета          | 212
апреле          | 212
уровня          | 212
фактически      | 212
мог             | 212
национальной    | 212
е               | 212
задачи          | 211
принять         | 211
вокруг          | 211
думаю           | 211
операции        | 211
другими         | 210
сначала         | 210
идея            | 210
дел             | 210
властей         | 210
пояснил         | 210
можем           | 210
самого          | 209
той             | 209
сфере           | 209
которому        | 209
больных         | 209
доступ          | 208
андрей          | 208
века            | 208
новую           | 207
начал           | 207
базе            | 207
крайне          | 207
сообщила        | 206
руководство     | 206
сирии           | 206
института       | 206
государств      | 206
сентября        | 206
модели          | 205
чуть            | 205
управление      | 205
создание        | 205
служба          | 205
структуры       | 205
противника      | 204
своими          | 204
группа          | 204
относительно    | 204
вернуться       | 204
таки            | 204
понедельник     | 204
самолетов       | 204
ресурсов        | 203
воды            | 203
организация     | 203
каждого         | 203
санкт           | 203
технологии      | 202
больницы        | 202
участников      | 202
поводу          | 202
союза           | 202
корабль         | 202
прямо           | 201
создания        | 201
испытания       | 201
оон             | 201
труда           | 201
целью           | 201
продолжает      | 201
смерти          | 201
рядом           | 201
модель          | 200
сообщения       | 200
различных       | 200
александра      | 200
вероятно        | 199
первая          | 199
соответствии    | 199
позже           | 199
миллиона        | 199
иметь           | 198
имени           | 198
строительство   | 198
кстати          | 197
членов          | 197
экономике       | 197
план            | 197
распространением | 196
чаще            | 196
услуг           | 196
война           | 196
ними            | 196
рг              | 196
оказался        | 196
годах           | 195
итогам          | 195
зараженных      | 195
вести           | 195
потери          | 195
появились       | 194
обеспечения     | 194
сроки           | 194
вся             | 194
скорость        | 193
санкции         | 193
крупных         | 193
использования   | 192
выглядит        | 192
сообщается      | 192
написал         | 192
приводит        | 192
цель            | 192
событий         | 191
ниже            | 191
общей           | 191
снижение        | 191
рабочих         | 191
понять          | 191
работ           | 191
цена            | 190
продажи         | 190
весьма          | 190
название        | 190
генерал         | 190
миру            | 190
края            | 190
составе         | 190
соответственно  | 189
состояние       | 189
условия         | 189
сложно          | 189
отрасли         | 188
лиц             | 188
положение       | 188
ведомства       | 188
факт            | 188
значительно     | 188
произошло       | 187
земле           | 187
времена         | 187
россияне        | 186
вновь           | 186
ограничений     | 186
государство     | 186
развитие        | 185
исследований    | 185
порядка         | 185
промышленности  | 185
кому            | 185
материалов      | 185
объем           | 184
сравнению       | 184
середине        | 184
комплекс        | 184
новым           | 184
мужчина         | 184
первым          | 184
последствия     | 184
мишустин        | 184
летний          | 184
равно           | 183
будущем         | 183
случай          | 183
корпуса         | 183
новая           | 182
работников      | 182
официально      | 182
деятельность    | 182
технологий      | 182
вроде           | 182
одну            | 181
спустя          | 181
американский    | 181
статьи          | 181
принимать       | 181
понятно         | 181
планируется     | 181
здоровья        | 180
ваши            | 180
правила         | 180
машин           | 180
решил           | 180
часа            | 179
дает            | 179
другим          | 179
мой             | 179
ответственность | 178
доходов         | 178
редакции        | 178
задача          | 178
такую           | 177
доме            | 177
отсутствие      | 177
каких           | 177
границы         | 177
большая         | 176
друга           | 176
рассказала      | 176
назвал          | 176
вряд            | 176
разные          | 176
пяти            | 175
организаций     | 175
иногда          | 175
прежнему        | 175
ввп             | 175
семьи           | 175
хочет           | 175
страну          | 175
лечения         | 175
учетом          | 174
делает          | 174
падение         | 174
министерство    | 174
военнослужащих  | 174
вчера           | 174
проводить       | 174
далеко          | 174
отправить       | 173
японии          | 173
американского   | 173
силу            | 173
новость         | 173
ввс             | 173
оружие          | 173
плюс            | 172
союз            | 172
саудовской      | 172
разработки      | 172
задач           | 172
экономического  | 171
вид             | 171
примеру         | 171
ближайшее       | 171
американской    | 171
жители          | 171
сама            | 170
основной        | 170
руководитель    | 170
центре          | 170
говоря          | 170
фургала         | 170
контроль        | 169
товаров         | 169
час             | 169
среду           | 169
материала       | 169
резко           | 168
пользователей   | 168
инфекцией       | 168
призвал         | 168
километров      | 168
степени         | 168
великобритании  | 167
сохранить       | 167
руки            | 167
таком           | 167
миллиардов      | 167
годов           | 167
предложения     | 167
турции          | 167
шоу             | 167
отмечают        | 167
завод           | 167
мнение          | 166
максимально     | 166
долго           | 166
д               | 166
класса          | 165
действовать     | 165
пользу          | 165
декабря         | 165
болезни         | 165
интерфакс       | 165
большие         | 165
хотят           | 165
жить            | 165
экипажа         | 165
оборудования    | 164
иностранных     | 164
иначе           | 164
добавить        | 164
медицинской     | 164
получила        | 164
комитета        | 164
учитывая        | 164
туда            | 164
крым            | 164
содержат        | 164
наконец         | 163
рассказали      | 163
самолета        | 163
санкций         | 163
говорил         | 163
владимира       | 163
министерства    | 163
армия           | 163
дать            | 163
нибудь          | 163
подобные        | 162
большое         | 162
мае             | 162
сути            | 162
зависимости     | 161
принято         | 161
последний       | 161
февраля         | 161
пост            | 161
морской         | 161
зависит         | 161
кораблей        | 161
услуги          | 160
нужны           | 160
зачем           | 160
сторону         | 160
ближайшие       | 159
движения        | 159
случаях         | 159
шесть           | 159
объявил         | 158
декабре         | 158
экономику       | 158
июне            | 158
изначально      | 158
команда         | 158
похоже          | 157
экс             | 157
крыма           | 157
международной   | 157
экономический   | 157
вооружение      | 157
губернатора     | 157
авторы          | 156
системе         | 156
свыше           | 156
количества      | 156
решений         | 156
каким           | 156
отражают        | 156
поколения       | 155
сообщении       | 155
эпидемия        | 155
испытаний       | 155
временем        | 155
путь            | 155
улице           | 155
международного  | 155
легких          | 155
строительства   | 155
совместно       | 154
отметили        | 154
вооруженных     | 154
ивл             | 154
проектов        | 154
безопасность    | 154
взять           | 153
местах          | 153
требования      | 153
женщина         | 153
москву          | 153
приняли         | 153
объектов        | 153
использование   | 153
зарплаты        | 152
нашего          | 152
земли           | 152
оказалась       | 152
выйти           | 152
бюджета         | 152
станции         | 152
агентства       | 152
тонн            | 152
смартфон        | 151
посмотреть      | 151
российским      | 151
американцев     | 151
следующий       | 151
знаю            | 151
объявила        | 150
подготовки      | 150
контроля        | 150
сообщение       | 150
влияние         | 150
домой           | 150
главного        | 150
востоке         | 150
приложения      | 149
пример          | 149
вещи            | 149
мид             | 149
феврале         | 149
вооружения      | 149
курс            | 149
значение        | 149
самая           | 148
корпус          | 148
порядке         | 148
сократить       | 148
фонда           | 148
общества        | 148
следствие       | 148
выполнения      | 148
войне           | 148
появилась       | 147
германия        | 147
получается      | 147
уж              | 146
игры            | 146
большим         | 146
получит         | 146
объяснил        | 146
хоть            | 146
экономической   | 146
заместитель     | 146
интересно       | 146
появился        | 145
легко           | 145
размере         | 145
столь           | 145
политике        | 145
изоляции        | 145
председатель    | 145
наверное        | 145
представителей  | 145
комплекса       | 145
плохо           | 145
научно          | 145
сентябре        | 145
публикации      | 145
ради            | 144
отметить        | 144
гражданам       | 144
евгений         | 144
песков          | 144
сумму           | 144
газ             | 144
начать          | 144
соглашение      | 144
доля            | 144
утверждает      | 144
договора        | 144
могу            | 144
выборы          | 144
прошлой         | 144
великой         | 144
наша            | 144
китайские       | 143
ввести          | 143
боевой          | 143
второго         | 143
новостях        | 143
десять          | 143
высокой         | 143
двумя           | 143
американцы      | 143
ту              | 143
администрации   | 143
последнее       | 143
дети            | 143
новое           | 142
среднего        | 142
газету          | 142
сложности       | 142
трудно          | 142
смогли          | 142
продуктов       | 142
продолжают      | 142
эпидемией       | 142
случаи          | 142
ч               | 142
вооружений      | 142
начало          | 142
позиции         | 142
социальных      | 141
целей           | 141
дал             | 141
переговоры      | 141
аналитики       | 141
граждане        | 141
лидер           | 141
мероприятия     | 141
причину         | 141
агентство       | 141
добычу          | 141
состава         | 141
поставки        | 141
военное         | 141
вмф             | 141
устройства      | 140
историю         | 140
лица            | 140
образования     | 140
сокращение      | 140
прав            | 140
выплаты         | 140
медицинского    | 140
видно           | 140
хватает         | 140
национального   | 140
президентом     | 140
дополнительные  | 139
можете          | 139
секретарь       | 139
риск            | 139
поддержка       | 138
полной          | 138
самостоятельно  | 138
предложил       | 138
добавьте        | 138
очевидно        | 138
корабли         | 138
увидеть         | 138
момента         | 138
постепенно      | 138
флот            | 138
господин        | 138
другое          | 137
требует         | 137
пройти          | 137
службу          | 137
штаты           | 137
успешно         | 137
пытается        | 137
продукции       | 137
олег            | 137
множество       | 137
аппаратов       | 136
опять           | 136
входит          | 136
удар            | 136
николай         | 136
особо           | 136
лично           | 136
плане           | 136
полиции         | 136
важного         | 136
знает           | 136
купить          | 135
предложение     | 135
оставаться      | 135
социально       | 135
судя            | 135
главным         | 135
готовности      | 135
карантине       | 135
заявление       | 135
миг             | 135
см              | 134
предлагает      | 134
отличие         | 134
участники       | 134
необходимость   | 134
недель          | 134
каникулы        | 134
газа            | 134
принял          | 134
провели         | 134
другом          | 134
ответственности | 134
размер          | 134
саудовская      | 134
авиации         | 134
версия          | 133
поле            | 133
способ          | 133
наличие         | 133
врач            | 133
главе           | 133
комментариев    | 133
сделали         | 133
снижения        | 133
нему            | 133
накануне        | 133
дональд         | 133
вскоре          | 133
сожалению       | 133
этапе           | 133
большую         | 132
вторая          | 132
назвали         | 132
обвинения       | 132
закона          | 132
рубля           | 132
продукты        | 132
самолеты        | 132
апл             | 132
причиной        | 132
местные         | 132
крови           | 132
изменит         | 132
новом           | 132
читать          | 132
странице        | 131
игр             | 131
коронавирусе    | 131
тип             | 131
предложили      | 131
медицинские     | 131
необходимые     | 131
угрозу          | 131
государственных | 131
пришли          | 131
рассказывает    | 131
издания         | 131
нашли           | 131
выход           | 131
какое           | 131
местных         | 131
газеты          | 130
пару            | 130
первое          | 130
случая          | 130
делу            | 130
женщины         | 130
сделал          | 130
встречи         | 130
используют      | 130
окончания       | 130
расходы         | 130
документы       | 130
проведение      | 130
звезда          | 130
готов           | 130
заявления       | 130
обязательно     | 130
клиентов        | 130
скорости        | 130
пусть           | 130
свидетелем      | 130
быстрее         | 129
абсолютно       | 129
заболеваний     | 129
уверен          | 129
силами          | 129
белоруссии      | 129
животных        | 129
советского      | 129
аравия          | 129
кино            | 129
сергея          | 129
используется    | 129
фотографии      | 128
цене            | 128
вашингтон       | 128
означает        | 128
генеральный     | 128
границ          | 128
антон           | 128
главных         | 128
будущее         | 128
оборудование    | 128
область         | 128
линии           | 128
отделом         | 128
товары          | 127
больнице        | 127
странами        | 127
показывает      | 127
борьбу          | 127
делают          | 127
большого        | 127
какая           | 127
соглашения      | 127
мероприятий     | 127
вторых          | 127
зато            | 127
обратная        | 127
пострадавших    | 126
связано         | 126
доходы          | 126
октября         | 126
готова          | 126
баррелей        | 126
сделки          | 126
существенно     | 126
северного       | 126
адмирал         | 126
экипаж          | 126
п               | 126
вопросов        | 125
получат         | 125
проекты         | 125
выхода          | 125
зафиксировано   | 125
население       | 125
форме           | 125
исследование    | 125
регионы         | 125
конец           | 125
бороться        | 125
руководством    | 125
экономических   | 125
малого          | 125
органов         | 125
боли            | 125
январе          | 125
блог            | 125
танков          | 125
пво             | 125
гб              | 125
остальные       | 124
устройство      | 124
заключается     | 124
помогает        | 124
часы            | 124
столько         | 124
коронавирусу    | 124
правительством  | 124
поддержать      | 124
правило         | 124
государственного | 124
отдельных       | 124
код             | 124
космических     | 124
комиссии        | 124
смартфонов      | 123
поддержке       | 123
ко              | 123
которыми        | 123
иван            | 123
четверг         | 123
втором          | 123
ряда            | 123
свободы         | 123
планы           | 123
кампании        | 123
буквально       | 123
хуже            | 122
перечень        | 122
программу       | 122
привести        | 122
государственной | 122
отметила        | 122
идеи            | 122
дали            | 122
остаются        | 122
четырех         | 122
обнаружили      | 122
сокращения      | 122
